"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R114";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"47k";;;
2;"R104,R103";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2.2k 1%";;;
3;"C115,C109,C107";"CP_Radial_D6.3mm_P2.50mm";3;"100u";;;
4;"C104,C103";"C_Rect_L31.5mm_W13.0mm_P27.50mm_MKS4";2;"4.7u";;;
5;"D105";"Diode_Bridge_Vishay_KBU";1;"KBU1010";;;
6;"J103";"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical";1;"3";;;
7;"D104";"LED_D5.0mm";1;"LED green";;;
8;"U101";"TO-220-11_P3.4x5.08mm_StaggerOdd_Lead4.58mm_Vertical";1;"LM3886TF";;;
9;"D103";"LED_D5.0mm";1;"LED red";;;
10;"R102,R105";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"33k 1%";;;
11;"R109";"R_Axial_DIN0922_L20.0mm_D9.0mm_P30.48mm_Horizontal";1;"10 3W";;;
12;"Q101";"TO-220-3_Vertical";1;"BT139-600E";;;
13;"C108";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"68n";;;
14;"F101,F102";"Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open";2;"3A";;;
15;"C119,C118";"CP_Radial_D10.0mm_P5.00mm";2;"470u";;;
16;"C116,C117";"CP_Radial_D18.0mm_P7.50mm";2;"6800u";;;
17;"R107";"R_Axial_DIN0614_L14.3mm_D5.7mm_P25.40mm_Horizontal";1;"3.3 2W";;;
18;"R110";"R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical";1;"0.47 3W";;;
19;"J101,J102";"PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical";2;"2";;;
20;"C105";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"220p";;;
21;"C101";"C_Rect_L7.5mm_W6.5mm_P5.00mm";1;"1.5u";;;
22;"R120,R119";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10";;;
23;"C102";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"220p";;;
24;"R115,R116,R101";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"0";;;
25;"R117,R118";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10k";;;
26;"R108,R106";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"22k";;;
27;"C121,C120";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100n";;;
28;"C111,C110,C113,C114,C112";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"10u";;;
29;"D102,D101";"D_MELF-RM10_Universal_Handsoldering";2;"1N4148W";;;
30;"C123,C122";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1u";;;
31;"R113,R111,R112";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"1k";;;
32;"Q102";"SOT-23_Handsoldering";1;"BC817";;;
33;"R121";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"0";;;
34;"Q103";"SOT-23_Handsoldering";1;"BC807";;;
35;"C124";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100n 100V";;;
36;"C106";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"33p";;;
